S0	friends atdinner
S1943	A white leather couch with a purse and throw blanket on it.
S1944	Black and white photo of couch with purse at one end.
S1945	A large white living room with a fireplace and large TV.
S1946	A living room with a TV, two chairs, a love seat, and a coffee table.
S1947	A living room with a wooden floor, a fireplace, and mismatched furniture.
S1948	Red chair in living room with wooden floor.
S1949	View of a living room containing couches, TV and fireplace.
S1950	A backpack standing beside a train.
S1951	A guy with a backpack standing next to a train.
S1952	A man in black shorts stands beside a green train.
S1953	A man standing on a platform next to a green and yellow train.
S1954	A man wearing white gym shoes stands near a green train.
S1955	Green train arriving at station.
S1956	Passangers wait to get on a little green children
S1957	Passengers at a station waiting to board a train pulled by a green locomotive engine.
S1958	Passengers loading onto a train with a green and black steam engine.
S1959	Several people waiting to board the train.
S1960	A colorful train
S1961	An old American steam engine with flags flying.
S1962	A train coming head on
S1963	Black train idle on the tracks.
S1964	The front of a gilded steam engine.
S1965	A boxcar with graffiti on it.
S1966	A graffiti covered Southern Pacific freight car.
S1967	A graffiti decorated railroad car.
S1968	A graffiti side of a freight train car
S1969	A train with graffiti art on the side.
S1970	A close up of a silver train.
S1971	A close-up of a silver train engine with a red stripe.
S1972	Large silver locomotive engine in a shed.
S1973	Left side of a silver train engine.
S1974	The silver train is parked in a station
S1975	An Amtrak passenger train waiting at a station.
S1976	A silver and blue Amtrak train on the tracks near a small train station.
S1977	A train parked at a train station.
S1978	Silver train at a station
S1979	There is a blue and silver astray train.
S1980	A blue and yellow locomotive alongside a station platform.
S1981	A blue and yellow train in front of a two-tone green building.
S1982	a train on tracks in town
S1983	a train passing a teal building from a side view
S1984	A trolley on a street.
S1985	A trail car on the tracks at a station.
S1986	A train heading for Trenton stops at a station.
S1987	a train in a station
S1988	A white train pulling into a station.
S1989	The white train is sitting on the tracks.
S1990	A man waits on the platform as the light rail train approaches.
S1991	A train pulls into a stop surrounded by trees.
S1992	People wait for the train to stop so that they can board.
S1993	People waiting for yellow and white train to stop.
S1994	Two men watching the oncoming train.
S1995	A man gets off the Peruvian train for a photo opportunity.
S1996	A man stands in front of a train labeled Perurail near mountains.
S1997	A person posing for a picture outside a train
S1998	A person standing in front of a blue PeruRail train by the mountains.
S1999	The person is standing in front of the blue, yellow and white train.
S2000	A small train stopped on the tracks in a park.
S2001	Railroad tracks with a railroad car on them.
S2002	The brown train is sitting on the railroad tracks.
S2003	The train heads down the tracks and along the hedge.
S2004	Train cars sitting on a track.
S2005	A black and white photo of an empty train station.
S2006	A black and white picture of a rail line and telegraph poles.
S2007	A black and white picture of railroad tracks.
S2008	An empty train next to a parallel set of tracks.
S2009	Photo of a train station, in black and white.
S2010	A green steam engine traveling on the railroad tracks.
S2011	A green steam train running down the tracks.
S2012	An old train travels in the country.
S2013	A steam engine comes down a train track near trees.
S2014	Steamy locomotive speeding thou the forest.
S2015	A London Underground train in a siding next to a London Overground train.
S2016	The red train and the yellow train on on the tracks.
S2017	Trains amble by the rail yard.
S2018	Two trains are traveling on the track.
S2019	Two trains stopped on a railroad track.
S2020	A long American freight train near a station.
S2021	A train is on the railroad tracks
S2022	A train is running down the track in a rural area.
S2023	A train is running on the tracks.
S2024	A yellow and black train with tanker cars belching smoke.
S2025	A BNSF railroad train on a track by water.
S2026	A brightly colored train is on tracks near grass.
S2027	A large orange and black locomotive.
S2028	A train is traveling on the railroad track in a rural area.
S2029	Yellow, blue and orange train on train tracks.
S2030	A CN freight engine passes by a larger freight train.
S2031	A CN freight train moves past wagons.
S2032	A pair of locomotives travels by train cars.
S2033	front side of a red freight train
S2034	Train with a red front.
S2035	A long train is on train tracks.
S2036	A yellow freight train
S2037	Locomotive attached to a train.
S2038	The front of a yellow freight train
S2039	The long yellow train is sitting on the tracks.
S2040	A modern train in the snow.
S2041	A train going down the track in a snow covered landscape.
S2042	A yellow passenger train running along snow covered tracks.
S2043	A yellow train on a racetrack with snow on it.
S2044	Yellow train riding down snow covered tracks.
S2045	An indoor train depot with trains on both sides of the walkway.
S2046	A train parked at a train station.
S2047	Trains inside an indoor station
S2048	Train station.
S2049	Two old passenger trains in a depot.
S2050	A black steam engine with yellow stars on it.
S2051	A close-up of a black train engine.
S2052	A steam engine train.
S2053	Idle black train at station.
S2054	Old train engine with stars on its side.
S2055	A train car at a large group of railroad tracks
S2056	A train sitting on the tracks in a train yard.
S2057	A train travels down one track amongst many.
S2058	Caboose on train track.
S2059	Two train engines in a rail yard.
S2060	A passenger train coming into a station.
S2061	A subway train pulling into the station.
S2062	A train on drinks pulling into a station.
S2063	Train going down the tracks through a tunnel,
S2064	Train in a station.
S2065	A black steam train traveling on the railroad tracks.
S2066	A large steam locomotive pulling a passenger train through the countryside.
S2067	A steam engine and train moving toward the camera.
S2068	A steam-powered locomotive.
S2069	Train going down the tracks.
S2070	A blue and yellow train crosses a river near a waterfall.
S2071	A blue train crosses over a ditch in the mountains.
S2072	A blue train crossing over a pulley.
S2073	A blue train with silver top that is crossing a divide.
S2074	Blue train over rocky crevasse
S2075	An old passenger train in blue and white sits in Sheffield Station.
S2076	A passenger train waiting at the city train station.
S2077	A passenger train with a yellow engine.
S2078	Black train arriving at train.
S2079	The blue train is at the station.
S2080	A multi-colored train on a track.
S2081	an old diesel train in the country
S2082	A row of locomotives on a siding in a field.
S2083	A train seen from the back end
S2084	A train set on tracks.
S2085	A red train
S2086	A red, yellow and black locomotive from the Panama Canal Railway in a siding.
S2087	A red, yellow, and black Panama Canal Railway train sits on dead-end tracks.
S2088	side view of a Panama Canal Railway freight train
S2089	The left side of a Panama Canal Railway locomotive.
S2090	A large yellow locomotive showing the number 8300 with a bright blue sky above.
S2091	an old yellow diesel engine
S2092	A train emblazoned with "8300" beneath a lovely blue sky.
S2093	A yellow train stopped.
S2094	a yellow train with 8300 on it
S2095	A black train engine is facing me on the tracks with its light on in the woods during the day.
S2096	A close-up of a black train engine.
S2097	A front view of a black train engine on the tracks with people standing on either side.
S2098	A group watches an old freight train engine.
S2099	The train is very old and has the number 1225 on it.
S2100	A commuter train pulling into a platform at night.
S2101	A woman in a black hat is standing by the subway
S2102	A woman is waiting by a subway train.
S2103	A woman waits for a train on the platform.
S2104	A woman with a black hat and coat standing beside a subway car.
S2105	A picture of an old train on the tracks.
S2106	A railway sits on an off-track at a factory in the woods.
S2107	A train on the train tracks.
S2108	Gloomy train tracks
S2109	train tracks with dark building next to it
S2110	A man walking past the red and yellow train.
S2111	A passenger train in the snow.
S2112	A red train driving through a snow covered city.
S2113	The train is riding on the tracks in the snow.
S2114	Yellow and red train on tracks in winter time.
S2115	A black coal train passes many overhead wires.
S2116	A black locomotive goes by on the train tracks.
S2117	A black steam engine passes a fence.
S2118	A black train moves down the tracks.
S2119	An antique freight engine rides on the tracks.
S2120	A car parked in front of train tracks.
S2121	A freight train crossing a rural road.
S2122	A mostly black train on a track.
S2123	A small white car and a passing train.
S2124	A train carrying tanks passes a small silver car.
S2125	A moving train in a suburban area
S2126	A train is railing between a dead end street and a stand of evergreens.
S2127	Black train on train tracks.
S2128	The locomotive is visible just beyond the guardrail and in front of the telephone pole.
S2129	Train engine with trees in the background.
S2130	An electric train on tracks under an overpass.
S2131	A passenger train sits in the station.
S2132	A red and white railroad car with passengers inside.
S2133	A red and white Sun Liner train beneath an overpass.
S2134	The train sits at the train station.
S2135	A blue train in a mountainous area.
S2136	An old train sits idle on the tracks.
S2137	A weathered passenger train car.
S2138	Old blue and white train on tracks.
S2139	Picture of an old railroad car with a passenger looking out the window.
S2140	An electric streetcar is on train tracks.
S2141	A passenger train going over a railroad crossing.
S2142	Train coming forward on a track.
S2143	Train gliding on tracks.
S2144	Train pulling into a station.
S2145	A red and cream colored train with graffiti on it at a small, open air train station.
S2146	A train is parked at a station next to benches.
S2147	A train parked at an empty train station.
S2148	Subway station with the vehicle parked.
S2149	Trolley style train cars with graffiti on them sit at a station.
S2150	A passenger train waiting in a station.
S2151	A red, white and blue train pull up to the station.
S2152	Electric train or tram waiting at a station
S2153	Passenger train stopped at rail station.
S2154	Red, white and blue train arriving at train station.
S2155	An Amtrack train coming towards the camera on a set of tracks with tracks next to it.
S2156	a train rides on his tracks
S2157	A train traveling down the tracks.
S2158	The train arrive in the late afternoon.
S2159	The train comes down the track, between two rows of trees.
S2160	A yellow and white train and one orange train on the opposite sides of a small train station.
S2161	There is a train and two yellow and white cars at the train station.
S2162	Two trains are on train tracks near a median.
S2163	Two trains inside a train station.
S2164	Two train tracks with a train on each.
S2165	A coal train traveling down the tracks.
S2166	A locomotive with smoke coming out of the top going away from the camera.
S2167	a steam train with dark smoke
S2168	Steam rises from the train engine on the tracks.
S2169	The steam from the train signals it is time to move out.
S2170	A Canadian train with the flag of Canada on the tracks.
S2171	A gray, yellow and blue train engine from Canada.
S2172	Canadian train on tracks.
S2173	The Canadian locomotive is parked.
S2174	The train engine is labeled with the word Canada and a flag.
S2175	A man posing in front of a passenger train.
S2176	A man stands on a platform in front of a silver train.
S2177	Man standing in front of a silver rail car.
S2178	Man standing in front of silver train.
S2179	The man poses for a photo in front of the train.
S2180	An American flag and another flag fly above a yellow train engine and snow.
S2181	A yellow and black train passing through the snow toward two flag poles.
S2182	Two flags fly on a snowy day as a yellow train approaches.
S2183	Two flags lay quietly on their poles while a freight train passes by on the tracks.
S2184	Two flags on flagpoles near a train on covered ground.
S2185	The trains sit idly in the yard.
S2186	Two green and white trains are sitting on the train track.
S2187	Two green and white trains on tracks.
S2188	Two green and white trains parked on tracks.
S2189	Two green and white trains sitting on the tracks.
S2190	an old wooden train heading toward an old station
S2191	A railroad track and a train to the side.
S2192	A train passing through a deserted town.
S2193	A train sitting on the tracks near a field.
S2194	Close up of a railroad track with two old wooden rails on one side.
S2195	A grey and red train coming out of a tunnel.
S2196	An orange and silver train pass by a building on a hill.
S2197	A red and gray train is going through a tunnel.
S2198	A red and gray train travels through a tunnel amongst the trees.
S2199	Train going into a tunnel
S2200	A hotel room contains a flat-screen TV and sparse but adequate furnishings.
S2201	A television and a laptop computer are on in a hotel room.
S2202	A television screen over a room with two desks and a bed.
S2203	The table, chair, and television of a hotel room have a yellow hue due to the lamp light.
S2204	The television and desk of hotel room with lamp lighting.
S2205	A man pressing a button on a television.
S2206	A man sitting and pointing at a blurred screen.
S2207	a man turning on a TV in his office
S2208	A man viewing television in a doctors office.
S2209	Man pointing at image on tv.
S2210	A woman and her dog watch the cameraman in their living with wooden floors.
S2211	A woman sitting on the couch while a black faced dog runs across the floor.
S2212	A woman wearing a backpack sits on a couch while a small dog runs on the hardwood floor next to her.
S2213	A women sitting on a sofa while a small Jack Russell walks towards the camera.
S2214	White and black small dog walks toward the camera while woman sits on couch, desk and computer seen in the background as well as a pillow, teddy bear and moggie toy on t
S2215	a desk with a computer in a room A messy home office.
S2216	a office space with two windows A room set up as a quaint office.
S2217	A wooden desk alongside a largeprinter in a busy office.
S2218	A television and entertainment center.
S2219	A wide screen TV sits in a living room.
S2220	Entertainment center with TV and picture frames.
S2221	The entertainment center of the living room includes a TV, plants, and several baskets.
S2222	A laptop and a PC at a workstation.
S2223	A laptop computer and a computer monitor.
S2224	Computer and two monitors.
S2225	Laptop and desktop computer screen sitting on desk.
S2226	A green painted office with a buster eaten poster and a soda bottle on the wall.
S2227	An office with a green wall, desk, fax machine, computer, and chairs.
S2228	An office with multiple desks and green walls.
S2229	Small office space with bright green walls.
S2230	A close-up picture of a desk with a computer and papers on it.
S2231	a messy desktop with two monitors
S2232	Messy computer desk with two monitors.
S2233	The desk is very cluttered and has an old computer on it.
S2234	A computer monitor has a picture of a cat in a pumpkin.
S2235	A graphic of a black cat in a pumpkin displayed on a computer screen.
S2236	Close up of a PC monitor with a large halloween pumpkin displayed.
S2237	Sticker-covered computer monitor.
S2238	A group of men sitting in a classroom.
S2239	Students sit in a room using laptop computers.
S2240	Three dark-haired young men sit in a classroom with one looking at his laptop.
S2241	Three men surfing the internet.
S2242	A black, flat screen television placed on the floor.
S2243	A flat screen TV on the floor.
S2244	A flat-screen TV sits on the floor.
S2245	A large LCD television on the floor with many wires connected.
S2246	A computer and collection of gadgets, including pop, cell phone, pot and game advance.
S2247	A computer monitor, keyboard, pot, and cell phone sitting on a table.
S2248	A computer with four mobile electronic devices and one magazine in front of it.
S2249	A desktop computer with electronic devices lined up in front of it.
S2250	A messy bedroom.
S2251	A pile of bunched-up sheets lay on top of a bed, next to some discarded clothes and a box.
S2252	A single bed with boxes and bedding piled on the bed and floor.
S2253	A unkempt bedroom with boxes to the right.
S2254	A silver television on a silver stand with visible wires.
S2255	a silver TV with a silver stand
S2256	A television is on a media stand near a plant.
S2257	A television with a show on.
S2258	girls and one guy playingtwister
S2259	Three people playing Twister.
S2260	Two girls and guy play Twister in a living room.
S2261	Two girls playing twister while guy watches.
S2262	College students finally get the answer they've been looking for.
S2263	Four people interested in something on a computer monitor.
S2264	Four people stacking hands with a computer monitor in the background
S2265	friends in front of acomputer
S2266	A large screen tv with news headlines.
S2267	A monitor is on to a screen reading World News Today from Yahoo.
S2268	Library kiosk display showing news
S2269	A green lamp sits beside a television on a dresser in a bedroom with white furniture.
S2270	A white colored room containing a table, chairs and TV
S2271	A white room with a tv and fridge, looks like a hotel room.
S2272	Bedroom with white furniture and white walls.
S2273	A cluttered living space is typical of a small apartment.
S2274	a small room with a fan and a small coffee table
S2275	A small TV along with a coffee table, shelves and fan.
S2276	Living room with table and entertainment center.
S2277	A boy looking at a computer screen.
S2278	A boy looking at a computer screen that has a glare
S2279	A young boy with glasses sites in front of a computer.
S2280	Boy using a computer.
S2281	A man sitting at an office desk with his computer on.
S2282	A man with glasses and a burgundy shirt seated at his cubicle in front of a computer.
S2283	A man with glasses in a cubicle.
S2284	A man with thinning hair and a brown shirt looks up from the computer in his cubicle.
S2285	A home office with three computer monitors and other equipment on a desk.
S2286	A room with four computer monitors in a row.
S2287	A room with several computers and pictures on the wall.
S2288	Room with several computer monitors.
S2289	A bathtub under stained glass windows.
S2290	A beautiful tub under a stained glass window.
S2291	A white bath tub set beneath stained glass artistry.
S2292	The modern bath tub is equipped with a flat screen television.
S2293	A man sitting in a chair with a laptop on his lap watching a TV set in the corner.
S2294	A man sitting in a nearly empty room working on a computer and watching a small television.
S2295	A man sitting on a chair watching TV and using a laptop.
S2296	A young man is in a chair using a laptop while the television is on.
S2297	A computer with two monitors on a white desk.
S2298	monitors on adesk
S2299	Two computer monitors with matching images.
S2300	Two computer monitors with matching screens sit on a desk with other electronics.
S2301	A living room with TV, books, vacuum, and accessories.
S2302	A modest living room contains two cluttered bookshelves and a small flatscreen TV.
S2303	A small TV on a wooden floor is surrounded by bookshelves and cleaning supplies.
S2304	A television next to a bookcase and vacuum cleaner.
S2305	A close-up of a television monitor with a man on t.v.
S2306	A walled television screen shows an image of a dark-haired man in a white suit and brown tie.
S2307	photo of a television screen showing a movie
S2308	There is a picture of a man on the television.
S2309	The wall-mounted flat-screen TV is showing a movie.
S2310	A home office set up complete with a can of soda!
S2311	An Apple computer is sitting on a desk next to a can and another computer.
S2312	Computer desk with computer monitor and soda can sitting in front of keyboard.
S2313	Desk with computer keyboard and monitor.
S2314	Two computers at a workstation.
S2315	A man laying on a bed with beer cans on a nearby table.
S2316	A man lies in a bed in a cluttered room.
S2317	a middle-aged man relaxes after drinking a few beers
S2318	A person in a blue shirt reclines near a coffee table and television.
S2319	Young man in blue shirt lying down on couch.
S2320	A guy playing a giant intent in a game store with a blue wall.
S2321	A man bending over playing a video game on a large screen on the wall.
S2322	A man playing a video game in a store.
S2323	A man playing Super Mario Brothers with a giant Nentendo controller.
S2324	Man playing game in a store.
S2325	A blank screen with two remotes on the table.
S2326	A flat screen television on a table with two remote controls.
S2327	A Philips flat-screen TV is shown with its two remote controls.
S2328	A Phillips flat screen TV with two remote controls
S2329	Flat screen television with two remote controls sitting in front.
S2330	a desk in a corner of a room with a computer and a laptop
S2331	A desk with a laptop and a desktop computer along with a desk lamp.
S2332	A home office set up is sparse.
S2333	A small wooden computer desk with a laptop and desktop computer.
S2334	Wooden computer desk with desktop and laptop.
S2335	A group of people with a women holding a small child and a birthday cake.
S2336	A woman holding a baby poses with two men and birthday decorations.
S2337	Two men, a woman, and a small child are celebrating a birthday.
S2338	Two men with a young lady holding a small child in front of a table holding a birthday cake.
S2339	Woman holding baby and two men in front of birthday cake.
S2340	A bookcase with entertainment center and TV.
S2341	A room with a television, stereo and bookshelf.
S2342	A television in a messy room with several bookcases.
S2343	A view of an entertainment system and a bookshelf.
S2344	A wall with a TV and four bookcases.
S2345	Duel monitors is now the norm in most home office set ups.
S2346	There are two computer monitors sitting side by side.
S2347	Two flat screen computer monitors next to each other.
S2348	Two flat screen computer screens side by side.
S2349	Two flat screen TVs showing underwater scenes.
S2350	A flat screen with all sorts of wires and electronics in front of it.
S2351	A jumbo jumbo of technology paraphernalia.
S2352	A lot of electronics is stacked on the floor near a mounted flat screen television.
S2353	A room cluttered with boxes and wires has a flat-screen television on the wall.
S2354	A storage room with electronics and a TV on the wall.
S2355	A computer and monitor on a desk
S2356	A computer operating on a desk
S2357	A messy desk with a computer
S2358	A typical college student's work station!
S2359	Very cluttered computer desk.
S2360	A comfortable entertainment center in an apartment.
S2361	A living room TV on which someone is playing a video game.
S2362	A television is turned on, in a room with bookshelves.
S2363	A view of a living room with a television and shelves.
S2364	Television sitting next to two shelves full of neck knacks.
S2365	A large T.V. rests in the center of the room against a brick wall.
S2366	A living room with a large television, blue chair, and other personal items.
S2367	A living room with a large TV, blue patterned chair and brick walls.
S2368	A television, upholstered chair, and coffee stable in a bright room.
S2369	Living room with TV and recliner.
S2370	A Mickey Mouse figurine is sitting next to a toy hippo.
S2371	A Mickey Mouse toy
S2372	A small Mickey Mouse figurine on a desk next to a crazy white figurine.
S2373	Trinkets sit on a desk for all to admire.
S2374	Two plastic toys sitting on top of an office monitor.
S2375	A living room with a green sofa, table and TV.
S2376	Living room setting with wood floor, green chair, lamp on a table and a fireplace.
S2377	Living room with bay window, historian fireplace, hardwood floors, and a green couch.
S2378	Living room with TV, stereo equipment, green couch, and wooden floor.
S2379	Living room with wooden floor and green couch.
S2380	Several televisions are on the floor and stacked up on top of one another.
S2381	There are three TV's and a TV box piled on the floor.
S2382	This is an image of the back of some old televisions.
S2383	Three televisions, on on the floor, the other two on a box.
S2384	Two portable televisions on a brown rug.
S2385	A cozy wood-paneled living room with a wood burning stove welcomes you.
S2386	A living room with paneling has a red loveseat and a black heating stove.
S2387	An empty room with three paintings of animals on the wall.
S2388	A wooden paneled living room with a sofa and black stove.
S2389	Den with a soft and coal heater.
S2390	A close-up of a computer sitting on a desk with a modem, keyboard, and large speakers.
S2391	A desktop computer system and loudspeaker.
S2392	A desk with a computer and speaker on top.
S2393	Keyboard and speaker.
S2394	This is an image of someone's computer next to scissors and a soft drink on a desk.
S2395	A man in a Ninja Turtles t-shirt repairs televisions.
S2396	A man in a workshop looking at the back of two TV sets.
S2397	a man with sideburns looking at backs of white TVs
S2398	A young man with long hair and sideburns in a Ninja Turtles shirt stands behind a row of computer monitors.
S2399	Guy standing behind two computer monitors.
S2400	A darkened desk with a desktop PC and a lamp.
S2401	a desk lamp is turned on and showing a desktop computer
S2402	A faint glow from a lamp shows a desktop computer.
S2403	Computer lit by a lamp.
S2404	Laptop on a desk with a lamp
S2405	A computer desk displays elvis memorabilia.
S2406	A computer desk with various Elvis Presley paraphernalia on it.
S2407	A display of Elvis memorabilia sits in the apartment.
S2408	Elvis books are displayed on a computer desk.
S2409	Some pictures of Elvis on a shelf below a computer monitor.
S2410	a computer on the floor
S2411	A Macintosh computer sitting on the floor.
S2412	An Apple computer sitting on the floor.
S2413	A white Apple computer sits on the beige carpeting of a bedroom.
S2414	Computer keyboard and a monitor with Apple logo.
S2415	A hotel room with a scenic view contains a modern wooden desk, a flatscreen TV, and simple yet well-designed furniture.
S2416	Apartment room overlooking the city.
S2417	A room with a chair and a tv screen, as well as a desk and desk chair.
S2418	A very neat and empty room.
S2419	Hotel room overlooking city.
S2420	A group of people in a living room.
S2421	A group of people, most likely a family siting in a living room.
S2422	A group of people posing for a picture in a living room.
S2423	A large gathering of people crowd into this small living room for a photo-op.
S2424	This room is full of people sitting on the sofa, standing, and sitting on the floor.
